time,latitude,longitude,mag
1980-05-26T04:47:15.180Z,37.7258333,-117.7525,3.9
1980-05-26T05:45:03.590Z,37.5868333,-118.8541667,3.73
1980-05-26T05:56:26.790Z,37.6033333,-118.8448333,4.7
1980-05-26T06:03:58.490Z,37.6,-118.8828333,3.65
1980-05-26T06:21:10.190Z,37.6443333,-118.8596667,3.5
1980-05-26T06:43:49.290Z,37.661,-118.796,4.1
1980-05-26T07:02:46.890Z,37.448,-118.9376667,3.6
1980-05-26T07:18:38.430Z,37.6141667,-118.9311667,3.7
1980-05-26T07:21:03.210Z,37.6296667,-118.9458333,3.51
1980-05-26T07:42:01.190Z,37.6181667,-118.8648333,3.6
1980-05-26T07:42:47.810Z,37.6165,-118.8558333,4.05
1980-05-26T07:43:42.150Z,37.4991667,-118.8966667,3.86
1980-05-26T08:05:07.530Z,37.614,-118.9528333,3.65
1980-05-26T10:16:45.390Z,37.8701667,-118.5908333,3.51
1980-05-26T10:20:31.020Z,37.6161667,-118.7838333,4.5
1980-05-26T10:39:54.330Z,37.624,-118.8816667,4.3
1980-05-26T10:56:54.660Z,37.6143333,-118.8505,3.51
1980-05-26T11:04:04.860Z,37.6006667,-118.8398333,4.18
1980-05-26T11:47:39.040Z,37.6063333,-118.9245,3.51
1980-05-26T12:24:24.970Z,37.5686667,-118.8671667,5.1
1980-05-26T12:50:49.980Z,37.5675,-118.9158333,3.51
1980-05-26T12:54:08.120Z,37.6146667,-118.9835,3.62
1980-05-26T13:04:21.840Z,37.5438333,-118.9536667,4.11
1980-05-26T13:57:27.560Z,37.566,-118.732,3.87
1980-05-26T14:37:32.060Z,37.6055,-118.8083333,4.5
1980-05-26T15:50:32.510Z,37.5395,-118.8308333,3.8
1980-05-26T16:04:42.180Z,37.5155,-118.8345,3.51
1980-05-26T16:20:21.280Z,37.5565,-118.8918333,4.8
1980-05-26T17:38:02.980Z,37.5811667,-118.8763333,3.8
1980-05-26T17:40:04.220Z,37.5866667,-118.8863333,3.57
1980-05-26T18:05:35.770Z,37.5373333,-118.858,3.5
1980-05-26T18:55:36.380Z,37.536,-118.8715,3.8
1980-05-26T18:57:55.590Z,37.5206667,-118.8761667,5.7
1980-05-26T19:07:12.260Z,37.568,-118.8291667,3.73
1980-05-26T19:10:39.070Z,37.5318333,-118.8888333,3.8
1980-05-26T19:24:09.240Z,37.5115,-118.861,4.7
1980-05-26T19:44:31.160Z,37.6296667,-118.8763333,3.6
1980-05-26T19:50:11.590Z,37.5161667,-118.8698333,3.76
1980-05-26T19:52:39.920Z,37.5406667,-118.8646667,3.6
1980-05-26T20:01:30.930Z,37.5148333,-118.8713333,3.8
1980-05-26T20:03:40.120Z,37.5705,-118.885,4.1
1980-05-26T21:42:09.300Z,37.5718333,-118.8828333,3.7
1980-05-26T21:57:41.800Z,37.5538333,-118.8901667,3.8
1980-05-26T21:58:09.230Z,37.6231667,-118.8548333,3.5
1980-05-26T22:35:42.430Z,37.6145,-118.8828333,3.6
1980-05-26T23:19:26.970Z,37.5226667,-118.8853333,4.1
1980-05-27T00:43:17.200Z,37.562,-118.8641667,3.7
1980-05-27T01:19:40.690Z,37.619,-118.877,3.6
1980-05-27T02:01:17.190Z,37.5483333,-118.841,3.6
1980-05-27T02:22:15.820Z,37.7018333,-117.702,3.55
1980-05-27T03:43:48.940Z,37.578,-118.866,3.7
1980-05-27T04:22:01.190Z,37.4783333,-118.8506667,3.6
1980-05-27T05:36:38.010Z,37.5626667,-118.8393333,3.53
1980-05-27T05:44:56.710Z,37.6028333,-118.904,3.5
1980-05-27T06:15:36.840Z,37.5393333,-118.8975,3.8
1980-05-27T06:36:53.090Z,37.515,-118.8733333,4.1
1980-05-27T06:46:41.330Z,37.604,-118.943,4
1980-05-27T07:02:00.640Z,37.5711667,-118.8785,3.7
1980-05-27T09:09:30.380Z,37.6331667,-118.8558333,3.8
1980-05-27T10:27:30.310Z,37.6381667,-118.8465,3.61
1980-05-27T10:29:11.070Z,37.5171667,-118.8858333,3.7
1980-05-27T10:46:15.800Z,37.5975,-118.8023333,4.16
1980-05-27T11:32:48.440Z,37.7575,-118.4971667,3.51
1980-05-27T11:33:47.010Z,37.6291667,-118.91,3.5
1980-05-27T13:10:27.200Z,37.6096667,-118.7898333,3.9
1980-05-27T13:27:06.830Z,37.5141667,-118.8853333,4.3
1980-05-27T13:38:50.680Z,37.6,-118.8,3.5
1980-05-27T14:50:56.080Z,37.6243333,-118.7551667,6.31
1980-05-27T14:50:56.810Z,37.5033333,-118.8055,6.2
1980-05-27T14:58:41.560Z,37.5878333,-118.7976667,3.62
1980-05-27T15:01:10.790Z,37.4785,-118.806,4
1980-05-27T15:04:36.740Z,37.5571667,-118.726,3.51
1980-05-27T15:05:39.060Z,37.496,-118.8035,3.5
1980-05-27T15:13:47.020Z,37.5498333,-118.81,4
1980-05-27T15:17:27.560Z,37.5098333,-118.8316667,4.23
1980-05-27T15:41:46.620Z,37.4808333,-118.8166667,4
1980-05-27T15:52:51.430Z,37.4623333,-118.8016667,3.66
1980-05-27T16:01:45.570Z,37.5933333,-118.7785,3.81
1980-05-27T16:09:54.780Z,37.5925,-118.7476667,3.8
1980-05-27T16:10:37.970Z,37.5665,-118.8771667,4
1980-05-27T16:35:45.460Z,37.4691667,-118.8125,3.6
1980-05-27T16:45:51.140Z,37.5726667,-118.7533333,3.85
1980-05-27T16:49:11.490Z,37.5138333,-118.8673333,3.9
1980-05-27T17:09:57.580Z,37.447,-118.8088333,4.2
1980-05-27T17:20:02.370Z,37.471,-118.812,3.69
1980-05-27T17:34:32.440Z,37.4158333,-118.825,3.72
1980-05-27T17:43:15.990Z,37.4791667,-118.7955,3.68
1980-05-27T17:47:37.510Z,37.5391667,-118.8735,3.6
1980-05-27T18:36:07.750Z,37.4181667,-118.8241667,4
1980-05-27T19:01:07.840Z,37.595,-118.779,4.8
1980-05-27T19:47:21.640Z,37.5941667,-118.7943333,3.5
1980-05-27T20:00:47.460Z,37.5208333,-118.9531667,3.6
1980-05-27T20:26:10.300Z,37.5885,-118.854,3.59
1980-05-27T21:34:53.740Z,37.5105,-118.8033333,4.3
1980-05-27T22:29:30.420Z,37.5293333,-118.8626667,3.58
1980-05-27T23:41:03.340Z,37.561,-118.8536667,3.8
1980-05-27T23:57:43.260Z,37.5531667,-118.8961667,4
