time,latitude,longitude,mag
2010-03-22T06:50:29.000Z,36.091,-97.452,2.6
2010-03-22T08:20:04.160Z,35.556,-96.797,2.7
2010-03-22T09:18:51.180Z,35.58,-96.765,2.8
2010-04-01T15:10:21.120Z,35.58,-96.748,2.5
2010-04-03T13:52:19.000Z,35.542,-97.304,2.8
2010-04-03T14:34:26.000Z,35.525,-97.296,2.7
2010-04-07T14:58:18.000Z,35.54,-96.73,2.5
2010-04-08T12:42:43.000Z,35.523,-97.284,3.4
2010-04-10T02:49:31.000Z,35.532,-97.288,2.8
2010-04-10T09:34:40.000Z,35.531,-97.275,2.5
2010-04-12T04:04:48.000Z,35.611,-97.122,3
2010-04-21T01:11:14.000Z,35.497,-97.264,2.6
2010-04-21T16:47:52.000Z,35.486,-97.259,2.8
2010-04-22T09:11:42.000Z,35.524,-97.302,2.5
2010-04-29T09:39:06.000Z,35.531,-97.294,2.6
2010-05-07T06:18:05.000Z,35.484,-97.255,2.5
2010-05-07T12:44:57.000Z,35.528,-97.299,3.4
2010-05-09T01:11:27.000Z,35.529,-97.296,2.5
2010-06-12T04:29:53.000Z,35.632,-97.198,2.7
2010-06-14T21:33:56.500Z,34.865,-97.676,3.1
2010-06-19T02:14:32.000Z,35.015,-97.417,2.7
2010-06-22T23:27:37.500Z,35.531,-97.291,2.7
2010-07-01T18:52:39.000Z,35.56,-97.28,2.6
2010-07-02T08:14:08.000Z,35.564,-97.289,2.7
2010-07-04T23:40:11.000Z,35.566,-97.276,2.6
2010-07-14T13:24:06.000Z,36.851,-98.222,2.7
2010-07-26T04:59:21.000Z,35.562,-97.245,2.9
2010-08-02T09:52:19.000Z,35.559,-97.241,3.4
2010-08-02T10:28:02.000Z,35.557,-97.241,2.8
2010-08-02T10:35:47.000Z,35.555,-97.243,2.9
2010-08-08T08:41:59.000Z,34.918,-97.456,2.8
2010-08-13T03:50:31.000Z,35.585,-97.227,2.6
2010-08-24T18:26:57.000Z,35.526,-96.763,2.6
2010-08-24T18:32:27.000Z,35.54,-96.761,2.5
2010-08-29T00:46:44.000Z,35.61,-97.237,2.5
2010-08-29T11:14:49.000Z,35.61,-97.237,2.5
2010-09-01T00:46:31.000Z,35.611,-97.235,3.1
2010-09-01T01:07:34.000Z,35.604,-97.241,2.9
2010-09-01T09:17:23.000Z,35.609,-97.243,2.5
2010-09-03T14:28:17.000Z,35.54,-97.003,2.7
2010-09-04T16:22:09.000Z,35.611,-97.24,3.3
2010-09-08T00:25:31.000Z,35.557,-97.294,2.7
2010-09-08T00:28:46.000Z,35.561,-97.29,2.5
2010-09-10T15:00:52.000Z,35.608,-97.238,2.6
2010-09-15T20:03:53.000Z,35.609,-97.242,3.1
2010-09-16T21:41:34.000Z,35.609,-97.243,3.3
2010-09-19T22:01:47.000Z,35.611,-97.246,3.5
2010-09-20T03:28:42.000Z,35.614,-97.251,2.7
2010-09-22T01:35:20.000Z,35.61,-97.259,2.5
2010-09-23T10:22:54.000Z,35.459,-97.189,2.5
2010-09-24T17:03:01.000Z,35.615,-97.259,2.5
2010-09-26T05:55:10.000Z,35.558,-97.237,2.5
2010-09-26T10:58:48.000Z,35.609,-97.238,2.5
2010-10-01T22:39:14.000Z,34.861,-96.029,3.1
